net.sf.saxon:BasicTransformerFactory:public:net.sf.saxon.TransformerFactoryImpl::<init>:public:0::void::3PP
net.sf.saxon:BasicTransformerFactory:public:net.sf.saxon.TransformerFactoryImpl::<init>:public:1:net.sf.saxon.Configuration:void::3PP
net.sf.saxon:Configuration$1::java.lang.Object:java.util.Comparator:<init>::1:net.sf.saxon.Configuration:void::3PP
net.sf.saxon:Configuration$1::java.lang.Object:java.util.Comparator:compare:public:2:java.lang.Object,java.lang.Object:int::3PP
net.sf.saxon:Configuration$2::java.lang.Object:net.sf.saxon.z.IntPredicate:<init>::1:net.sf.saxon.Configuration:void::3PP
net.sf.saxon:Configuration$2::java.lang.Object:net.sf.saxon.z.IntPredicate:matches:public:1:int:boolean::3PP
net.sf.saxon:Configuration$3::java.lang.Object:net.sf.saxon.z.IntPredicate:<init>::1:net.sf.saxon.Configuration:void::3PP
net.sf.saxon:Configuration$3::java.lang.Object:net.sf.saxon.z.IntPredicate:matches:public:1:int:boolean::3PP
net.sf.saxon:Configuration$LicenseFeature:public:java.lang.Object::<init>:public:0::void::3PP
net.sf.saxon:Configuration:public:java.lang.Object:net.sf.saxon.lib.SourceResolver,net.sf.saxon.om.NotationSet:<init>:public:0::void::3PP
net.sf.saxon:Configuration:public:java.lang.Object:net.sf.saxon.lib.SourceResolver,net.sf.saxon.om.NotationSet:newConfiguration:public,static:0::net.sf.saxon.Configuration::3PP
net.sf.saxon:Configuration:public:java.lang.Object:net.sf.saxon.lib.SourceResolver,net.sf.saxon.om.NotationSet:locateResource:public,static:3:java.lang.String,java.util.List,java.util.List:java.io.InputStream::3PP
net.sf.saxon:Configuration:public:java.lang.Object:net.sf.saxon.lib.SourceResolver,net.sf.saxon.om.NotationSet:locateResourceSource:public,static:3:java.lang.String,java.util.List,java.util.List:javax.xml.transform.stream.StreamSource::3PP
net.sf.saxon:Configuration:public:java.lang.Object:net.sf.saxon.lib.SourceResolver,net.sf.saxon.om.NotationSet:readConfiguration:public,static:1:javax.xml.transform.Source:net.sf.saxon.Configuration::3PP
net.sf.saxon:Configuration:public:java.lang.Object:net.sf.saxon.lib.SourceResolver,net.sf.saxon.om.NotationSet:readConfiguration:public,static:2:javax.xml.transform.Source,net.sf.saxon.Configuration:net.sf.saxon.Configuration::3PP
net.sf.saxon:Configuration:public:java.lang.Object:net.sf.saxon.lib.SourceResolver,net.sf.saxon.om.NotationSet:readConfigurationFile:protected:1:javax.xml.transform.Source:net.sf.saxon.Configuration::3PP
net.sf.saxon:Configuration:public:java.lang.Object:net.sf.saxon.lib.SourceResolver,net.sf.saxon.om.NotationSet:readConfigurationFile:protected:2:javax.xml.transform.Source,net.sf.saxon.Configuration:net.sf.saxon.Configuration::3PP
net.sf.saxon:Configuration:public:java.lang.Object:net.sf.saxon.lib.SourceResolver,net.sf.saxon.om.NotationSet:makeConfigurationReader:protected:0::net.sf.saxon.trans.ConfigurationReader::3PP
net.sf.saxon:Configuration:public:java.lang.Object:net.sf.saxon.lib.SourceResolver,net.sf.saxon.om.NotationSet:init:protected:0::void::3PP
net.sf.saxon:Configuration:public:java.lang.Object:net.sf.saxon.lib.SourceResolver,net.sf.saxon.om.NotationSet:makeLicensedConfiguration:public,static:2:java.lang.ClassLoader,java.lang.String:net.sf.saxon.Configuration::3PP
net.sf.saxon:Configuration:public:java.lang.Object:net.sf.saxon.lib.SourceResolver,net.sf.saxon.om.NotationSet:getEditionCode:public:0::java.lang.String::3PP
net.sf.saxon:Configuration:public:java.lang.Object:net.sf.saxon.lib.SourceResolver,net.sf.saxon.om.NotationSet:importLicenseDetails:public:1:net.sf.saxon.Configuration:void::3PP
net.sf.saxon:Configuration:public:java.lang.Object:net.sf.saxon.lib.SourceResolver,net.sf.saxon.om.NotationSet:setProcessor:public:1:java.lang.Object:void::3PP
net.sf.saxon:Configuration:public:java.lang.Object:net.sf.saxon.lib.SourceResolver,net.sf.saxon.om.NotationSet:getProcessor:public:0::java.lang.Object::3PP
net.sf.saxon:Configuration:public:java.lang.Object:net.sf.saxon.lib.SourceResolver,net.sf.saxon.om.NotationSet:getProductTitle:public:0::java.lang.String::3PP
net.sf.saxon:Configuration:public:java.lang.Object:net.sf.saxon.lib.SourceResolver,net.sf.saxon.om.NotationSet:checkLicensedFeature:public:3:int,java.lang.String,int:void::3PP
net.sf.saxon:Configuration:public:java.lang.Object:net.sf.saxon.lib.SourceResolver,net.sf.saxon.om.NotationSet:disableLicensing:public:0::void::3PP
net.sf.saxon:Configuration:public:java.lang.Object:net.sf.saxon.lib.SourceResolver,net.sf.saxon.om.NotationSet:isFeatureAllowedBySecondaryLicense:public:2:int,int:boolean::3PP
net.sf.saxon:Configuration:public:java.lang.Object:net.sf.saxon.lib.SourceResolver,net.sf.saxon.om.NotationSet:isLicensedFeature:public:1:int:boolean::3PP
net.sf.saxon:Configuration:public:java.lang.Object:net.sf.saxon.lib.SourceResolver,net.sf.saxon.om.NotationSet:getLicenseFeature:public:1:java.lang.String:java.lang.String::3PP
net.sf.saxon:Configuration:public:java.lang.Object:net.sf.saxon.lib.SourceResolver,net.sf.saxon.om.NotationSet:displayLicenseMessage:public:0::void::3PP
net.sf.saxon:Configuration:public:java.lang.Object:net.sf.saxon.lib.SourceResolver,net.sf.saxon.om.NotationSet:registerLocalLicense:public:1:java.lang.String:int::3PP
net.sf.saxon:Configuration:public:java.lang.Object:net.sf.saxon.lib.SourceResolver,net.sf.saxon.om.NotationSet:setDynamicLoader:public:1:net.sf.saxon.trans.DynamicLoader:void::3PP
net.sf.saxon:Configuration:public:java.lang.Object:net.sf.saxon.lib.SourceResolver,net.sf.saxon.om.NotationSet:getDynamicLoader:public:0::net.sf.saxon.trans.DynamicLoader::3PP
net.sf.saxon:Configuration:public:java.lang.Object:net.sf.saxon.lib.SourceResolver,net.sf.saxon.om.NotationSet:getClass:public:3:java.lang.String,boolean,java.lang.ClassLoader:java.lang.Class::3PP
net.sf.saxon:Configuration:public:java.lang.Object:net.sf.saxon.lib.SourceResolver,net.sf.saxon.om.NotationSet:getInstance:public:2:java.lang.String,java.lang.ClassLoader:java.lang.Object::3PP
net.sf.saxon:Configuration:public:java.lang.Object:net.sf.saxon.lib.SourceResolver,net.sf.saxon.om.NotationSet:getURIResolver:public:0::javax.xml.transform.URIResolver::3PP
net.sf.saxon:Configuration:public:java.lang.Object:net.sf.saxon.lib.SourceResolver,net.sf.saxon.om.NotationSet:setURIResolver:public:1:javax.xml.transform.URIResolver:void::3PP
net.sf.saxon:Configuration:public:java.lang.Object:net.sf.saxon.lib.SourceResolver,net.sf.saxon.om.NotationSet:setParameterizedURIResolver:public:0::void::3PP
net.sf.saxon:Configuration:public:java.lang.Object:net.sf.saxon.lib.SourceResolver,net.sf.saxon.om.NotationSet:getSystemURIResolver:public:0::net.sf.saxon.lib.StandardURIResolver::3PP
net.sf.saxon:Configuration:public:java.lang.Object:net.sf.saxon.lib.SourceResolver,net.sf.saxon.om.NotationSet:makeURIResolver:public:1:java.lang.String:javax.xml.transform.URIResolver::3PP
net.sf.saxon:Configuration:public:java.lang.Object:net.sf.saxon.lib.SourceResolver,net.sf.saxon.om.NotationSet:getErrorListener:public:0::net.sf.saxon.lib.UnfailingErrorListener::3PP
net.sf.saxon:Configuration:public:java.lang.Object:net.sf.saxon.lib.SourceResolver,net.sf.saxon.om.NotationSet:setErrorListener:public:1:javax.xml.transform.ErrorListener:void::3PP
net.sf.saxon:Configuration:public:java.lang.Object:net.sf.saxon.lib.SourceResolver,net.sf.saxon.om.NotationSet:getLogger:public:0::net.sf.saxon.lib.Logger::3PP
net.sf.saxon:Configuration:public:java.lang.Object:net.sf.saxon.lib.SourceResolver,net.sf.saxon.om.NotationSet:reportFatalError:public:1:net.sf.saxon.trans.XPathException:void::3PP
net.sf.saxon:Configuration:public:java.lang.Object:net.sf.saxon.lib.SourceResolver,net.sf.saxon.om.NotationSet:setStandardErrorOutput:public:1:java.io.PrintStream:void::3PP
net.sf.saxon:Configuration:public:java.lang.Object:net.sf.saxon.lib.SourceResolver,net.sf.saxon.om.NotationSet:setLogger:public:1:net.sf.saxon.lib.Logger:void::3PP
net.sf.saxon:Configuration:public:java.lang.Object:net.sf.saxon.lib.SourceResolver,net.sf.saxon.om.NotationSet:getStandardErrorOutput:public:0::java.io.PrintStream::3PP
net.sf.saxon:Configuration:public:java.lang.Object:net.sf.saxon.lib.SourceResolver,net.sf.saxon.om.NotationSet:setXMLVersion:public:1:int:void::3PP
net.sf.saxon:Configuration:public:java.lang.Object:net.sf.saxon.lib.SourceResolver,net.sf.saxon.om.NotationSet:getXMLVersion:public:0::int::3PP
net.sf.saxon:Configuration:public:java.lang.Object:net.sf.saxon.lib.SourceResolver,net.sf.saxon.om.NotationSet:getParseOptions:public:0::net.sf.saxon.lib.ParseOptions::3PP
net.sf.saxon:Configuration:public:java.lang.Object:net.sf.saxon.lib.SourceResolver,net.sf.saxon.om.NotationSet:setMediaQueryEvaluator:public:1:java.util.Comparator:void::3PP
net.sf.saxon:Configuration:public:java.lang.Object:net.sf.saxon.lib.SourceResolver,net.sf.saxon.om.NotationSet:getMediaQueryEvaluator:public:0::java.util.Comparator::3PP
net.sf.saxon:Configuration:public:java.lang.Object:net.sf.saxon.lib.SourceResolver,net.sf.saxon.om.NotationSet:setConversionRules:public:1:net.sf.saxon.lib.ConversionRules:void::3PP
net.sf.saxon:Configuration:public:java.lang.Object:net.sf.saxon.lib.SourceResolver,net.sf.saxon.om.NotationSet:getConversionRules:public:0::net.sf.saxon.lib.ConversionRules::3PP
net.sf.saxon:Configuration:public:java.lang.Object:net.sf.saxon.lib.SourceResolver,net.sf.saxon.om.NotationSet:getXsdVersion:public:0::int::3PP
net.sf.saxon:Configuration:public:java.lang.Object:net.sf.saxon.lib.SourceResolver,net.sf.saxon.om.NotationSet:getConversionContext:public:0::net.sf.saxon.expr.XPathContext::3PP
net.sf.saxon:Configuration:public:java.lang.Object:net.sf.saxon.lib.SourceResolver,net.sf.saxon.om.NotationSet:getValidCharacterChecker:public:0::net.sf.saxon.z.IntPredicate::3PP
net.sf.saxon:Configuration:public:java.lang.Object:net.sf.saxon.lib.SourceResolver,net.sf.saxon.om.NotationSet:getTreeModel:public:0::int::3PP
net.sf.saxon:Configuration:public:java.lang.Object:net.sf.saxon.lib.SourceResolver,net.sf.saxon.om.NotationSet:setTreeModel:public:1:int:void::3PP
net.sf.saxon:Configuration:public:java.lang.Object:net.sf.saxon.lib.SourceResolver,net.sf.saxon.om.NotationSet:isLineNumbering:public:0::boolean::3PP
