com.fasterxml.jackson.core:Base64Variant$PaddingReadBehaviour:public,final:java.lang.Enum::values:public,static:0::com.fasterxml.jackson.core.Base64Variant$PaddingReadBehaviour[]::3PP
com.fasterxml.jackson.core:Base64Variant$PaddingReadBehaviour:public,final:java.lang.Enum::valueOf:public,static:1:java.lang.String:com.fasterxml.jackson.core.Base64Variant$PaddingReadBehaviour::3PP
com.fasterxml.jackson.core:Base64Variant$PaddingReadBehaviour:public,final:java.lang.Enum::<init>:private:2:java.lang.String,int:void::3PP
com.fasterxml.jackson.core:Base64Variant$PaddingReadBehaviour:public,final:java.lang.Enum::<clinit>:static:0::void::3PP
com.fasterxml.jackson.core:Base64Variant:public,final:java.lang.Object:java.io.Serializable:<init>:public:5:java.lang.String,java.lang.String,boolean,char,int:void::3PP
com.fasterxml.jackson.core:Base64Variant:public,final:java.lang.Object:java.io.Serializable:<init>:public:3:com.fasterxml.jackson.core.Base64Variant,java.lang.String,int:void::3PP
com.fasterxml.jackson.core:Base64Variant:public,final:java.lang.Object:java.io.Serializable:<init>:public:5:com.fasterxml.jackson.core.Base64Variant,java.lang.String,boolean,char,int:void::3PP
com.fasterxml.jackson.core:Base64Variant:public,final:java.lang.Object:java.io.Serializable:<init>:private:6:com.fasterxml.jackson.core.Base64Variant,java.lang.String,boolean,char,com.fasterxml.jackson.core.Base64Variant$PaddingReadBehaviour,int:void::3PP
com.fasterxml.jackson.core:Base64Variant:public,final:java.lang.Object:java.io.Serializable:<init>:private:2:com.fasterxml.jackson.core.Base64Variant,com.fasterxml.jackson.core.Base64Variant$PaddingReadBehaviour:void::3PP
com.fasterxml.jackson.core:Base64Variant:public,final:java.lang.Object:java.io.Serializable:withPaddingAllowed:public:0::com.fasterxml.jackson.core.Base64Variant::3PP
com.fasterxml.jackson.core:Base64Variant:public,final:java.lang.Object:java.io.Serializable:withPaddingRequired:public:0::com.fasterxml.jackson.core.Base64Variant::3PP
com.fasterxml.jackson.core:Base64Variant:public,final:java.lang.Object:java.io.Serializable:withPaddingForbidden:public:0::com.fasterxml.jackson.core.Base64Variant::3PP
com.fasterxml.jackson.core:Base64Variant:public,final:java.lang.Object:java.io.Serializable:withReadPadding:public:1:com.fasterxml.jackson.core.Base64Variant$PaddingReadBehaviour:com.fasterxml.jackson.core.Base64Variant::3PP
com.fasterxml.jackson.core:Base64Variant:public,final:java.lang.Object:java.io.Serializable:withWritePadding:public:1:boolean:com.fasterxml.jackson.core.Base64Variant::3PP
com.fasterxml.jackson.core:Base64Variant:public,final:java.lang.Object:java.io.Serializable:readResolve:protected:0::java.lang.Object::3PP
com.fasterxml.jackson.core:Base64Variant:public,final:java.lang.Object:java.io.Serializable:getName:public:0::java.lang.String::3PP
com.fasterxml.jackson.core:Base64Variant:public,final:java.lang.Object:java.io.Serializable:usesPadding:public:0::boolean::3PP
com.fasterxml.jackson.core:Base64Variant:public,final:java.lang.Object:java.io.Serializable:requiresPaddingOnRead:public:0::boolean::3PP
com.fasterxml.jackson.core:Base64Variant:public,final:java.lang.Object:java.io.Serializable:acceptsPaddingOnRead:public:0::boolean::3PP
com.fasterxml.jackson.core:Base64Variant:public,final:java.lang.Object:java.io.Serializable:usesPaddingChar:public:1:char:boolean::3PP
