com.fasterxml.jackson.databind:AbstractTypeResolver:public,abstract:java.lang.Object::<init>:public:0::void::3PP
com.fasterxml.jackson.databind:AbstractTypeResolver:public,abstract:java.lang.Object::findTypeMapping:public:2:com.fasterxml.jackson.databind.DeserializationConfig,com.fasterxml.jackson.databind.JavaType:com.fasterxml.jackson.databind.JavaType::3PP
com.fasterxml.jackson.databind:AbstractTypeResolver:public,abstract:java.lang.Object::resolveAbstractType:public:2:com.fasterxml.jackson.databind.DeserializationConfig,com.fasterxml.jackson.databind.JavaType:com.fasterxml.jackson.databind.JavaType::3PP
com.fasterxml.jackson.databind:AbstractTypeResolver:public,abstract:java.lang.Object::resolveAbstractType:public:2:com.fasterxml.jackson.databind.DeserializationConfig,com.fasterxml.jackson.databind.BeanDescription:com.fasterxml.jackson.databind.JavaType::3PP
com.fasterxml.jackson.databind:AnnotationIntrospector$ReferenceProperty$Type:public,final:java.lang.Enum::values:public,static:0::com.fasterxml.jackson.databind.AnnotationIntrospector$ReferenceProperty$Type[]::3PP
com.fasterxml.jackson.databind:AnnotationIntrospector$ReferenceProperty$Type:public,final:java.lang.Enum::valueOf:public,static:1:java.lang.String:com.fasterxml.jackson.databind.AnnotationIntrospector$ReferenceProperty$Type::3PP
com.fasterxml.jackson.databind:AnnotationIntrospector$ReferenceProperty$Type:public,final:java.lang.Enum::<init>:private:2:java.lang.String,int:void::3PP
com.fasterxml.jackson.databind:AnnotationIntrospector$ReferenceProperty$Type:public,final:java.lang.Enum::<clinit>:static:0::void::3PP
com.fasterxml.jackson.databind:AnnotationIntrospector$ReferenceProperty:public:java.lang.Object::<init>:public:2:com.fasterxml.jackson.databind.AnnotationIntrospector$ReferenceProperty$Type,java.lang.String:void::3PP
com.fasterxml.jackson.databind:AnnotationIntrospector$ReferenceProperty:public:java.lang.Object::managed:public,static:1:java.lang.String:com.fasterxml.jackson.databind.AnnotationIntrospector$ReferenceProperty::3PP
com.fasterxml.jackson.databind:AnnotationIntrospector$ReferenceProperty:public:java.lang.Object::back:public,static:1:java.lang.String:com.fasterxml.jackson.databind.AnnotationIntrospector$ReferenceProperty::3PP
com.fasterxml.jackson.databind:AnnotationIntrospector$ReferenceProperty:public:java.lang.Object::getType:public:0::com.fasterxml.jackson.databind.AnnotationIntrospector$ReferenceProperty$Type::3PP
com.fasterxml.jackson.databind:AnnotationIntrospector$ReferenceProperty:public:java.lang.Object::getName:public:0::java.lang.String::3PP
com.fasterxml.jackson.databind:AnnotationIntrospector$ReferenceProperty:public:java.lang.Object::isManagedReference:public:0::boolean::3PP
com.fasterxml.jackson.databind:AnnotationIntrospector$ReferenceProperty:public:java.lang.Object::isBackReference:public:0::boolean::3PP
com.fasterxml.jackson.databind:AnnotationIntrospector$XmlExtensions:public,abstract,interface:::findNamespace:public,abstract:2:com.fasterxml.jackson.databind.cfg.MapperConfig,com.fasterxml.jackson.databind.introspect.Annotated:java.lang.String::3PP
com.fasterxml.jackson.databind:AnnotationIntrospector$XmlExtensions:public,abstract,interface:::isOutputAsAttribute:public,abstract:2:com.fasterxml.jackson.databind.cfg.MapperConfig,com.fasterxml.jackson.databind.introspect.Annotated:java.lang.Boolean::3PP
com.fasterxml.jackson.databind:AnnotationIntrospector$XmlExtensions:public,abstract,interface:::isOutputAsText:public,abstract:2:com.fasterxml.jackson.databind.cfg.MapperConfig,com.fasterxml.jackson.databind.introspect.Annotated:java.lang.Boolean::3PP
com.fasterxml.jackson.databind:AnnotationIntrospector$XmlExtensions:public,abstract,interface:::isOutputAsCData:public,abstract:2:com.fasterxml.jackson.databind.cfg.MapperConfig,com.fasterxml.jackson.databind.introspect.Annotated:java.lang.Boolean::3PP
com.fasterxml.jackson.databind:AnnotationIntrospector:public,abstract:java.lang.Object:com.fasterxml.jackson.core.Versioned,java.io.Serializable:<init>:public:0::void::3PP
com.fasterxml.jackson.databind:AnnotationIntrospector:public,abstract:java.lang.Object:com.fasterxml.jackson.core.Versioned,java.io.Serializable:nopInstance:public,static:0::com.fasterxml.jackson.databind.AnnotationIntrospector::3PP
com.fasterxml.jackson.databind:AnnotationIntrospector:public,abstract:java.lang.Object:com.fasterxml.jackson.core.Versioned,java.io.Serializable:pair:public,static:2:com.fasterxml.jackson.databind.AnnotationIntrospector,com.fasterxml.jackson.databind.AnnotationIntrospector:com.fasterxml.jackson.databind.AnnotationIntrospector::3PP
com.fasterxml.jackson.databind:AnnotationIntrospector:public,abstract:java.lang.Object:com.fasterxml.jackson.core.Versioned,java.io.Serializable:allIntrospectors:public:0::java.util.Collection::3PP
com.fasterxml.jackson.databind:AnnotationIntrospector:public,abstract:java.lang.Object:com.fasterxml.jackson.core.Versioned,java.io.Serializable:allIntrospectors:public:1:java.util.Collection:java.util.Collection::3PP
com.fasterxml.jackson.databind:AnnotationIntrospector:public,abstract:java.lang.Object:com.fasterxml.jackson.core.Versioned,java.io.Serializable:version:public,abstract:0::com.fasterxml.jackson.core.Version::3PP
com.fasterxml.jackson.databind:AnnotationIntrospector:public,abstract:java.lang.Object:com.fasterxml.jackson.core.Versioned,java.io.Serializable:isAnnotationBundle:public:1:java.lang.annotation.Annotation:boolean::3PP
com.fasterxml.jackson.databind:AnnotationIntrospector:public,abstract:java.lang.Object:com.fasterxml.jackson.core.Versioned,java.io.Serializable:findObjectIdInfo:public:1:com.fasterxml.jackson.databind.introspect.Annotated:com.fasterxml.jackson.databind.introspect.ObjectIdInfo::3PP
com.fasterxml.jackson.databind:AnnotationIntrospector:public,abstract:java.lang.Object:com.fasterxml.jackson.core.Versioned,java.io.Serializable:findObjectReferenceInfo:public:2:com.fasterxml.jackson.databind.introspect.Annotated,com.fasterxml.jackson.databind.introspect.ObjectIdInfo:com.fasterxml.jackson.databind.introspect.ObjectIdInfo::3PP
com.fasterxml.jackson.databind:AnnotationIntrospector:public,abstract:java.lang.Object:com.fasterxml.jackson.core.Versioned,java.io.Serializable:findRootName:public:1:com.fasterxml.jackson.databind.introspect.AnnotatedClass:com.fasterxml.jackson.databind.PropertyName::3PP
com.fasterxml.jackson.databind:AnnotationIntrospector:public,abstract:java.lang.Object:com.fasterxml.jackson.core.Versioned,java.io.Serializable:isIgnorableType:public:1:com.fasterxml.jackson.databind.introspect.AnnotatedClass:java.lang.Boolean::3PP
com.fasterxml.jackson.databind:AnnotationIntrospector:public,abstract:java.lang.Object:com.fasterxml.jackson.core.Versioned,java.io.Serializable:findPropertyIgnoralByName:public:2:com.fasterxml.jackson.databind.cfg.MapperConfig,com.fasterxml.jackson.databind.introspect.Annotated:com.fasterxml.jackson.annotation.JsonIgnoreProperties$Value::3PP
com.fasterxml.jackson.databind:AnnotationIntrospector:public,abstract:java.lang.Object:com.fasterxml.jackson.core.Versioned,java.io.Serializable:findPropertyInclusionByName:public:2:com.fasterxml.jackson.databind.cfg.MapperConfig,com.fasterxml.jackson.databind.introspect.Annotated:com.fasterxml.jackson.annotation.JsonIncludeProperties$Value::3PP
com.fasterxml.jackson.databind:AnnotationIntrospector:public,abstract:java.lang.Object:com.fasterxml.jackson.core.Versioned,java.io.Serializable:findFilterId:public:1:com.fasterxml.jackson.databind.introspect.Annotated:java.lang.Object::3PP
com.fasterxml.jackson.databind:AnnotationIntrospector:public,abstract:java.lang.Object:com.fasterxml.jackson.core.Versioned,java.io.Serializable:findNamingStrategy:public:1:com.fasterxml.jackson.databind.introspect.AnnotatedClass:java.lang.Object::3PP
